table_name,table_description,column_name&description
MH_MODEL_MASTER,This table contains model details data for all vehicle models. It can be joined with the MH_RO_HDR_DETAILS table using the column MODL_CD which serves as the key linking vehicle models to repair orders,MODL_CD (STRING) NULLABLE: Model Code
MH_MODEL_MASTER,This table contains model details data for all vehicle models. It can be joined with the MH_RO_HDR_DETAILS table using the column MODL_CD which serves as the key linking vehicle models to repair orders,MODL_DESC (STRING) NULLABLE: Model Description
MH_MODEL_MASTER,This table contains model details data for all vehicle models. It can be joined with the MH_RO_HDR_DETAILS table using the column MODL_CD which serves as the key linking vehicle models to repair orders,MODL_GROP_CD (STRING) NULLABLE: Model Group Code
MH_MODEL_MASTER,This table contains model details data for all vehicle models. It can be joined with the MH_RO_HDR_DETAILS table using the column MODL_CD which serves as the key linking vehicle models to repair orders,VARNT_CD (STRING) NULLABLE: Variant Code
MH_MODEL_MASTER,This table contains model details data for all vehicle models. It can be joined with the MH_RO_HDR_DETAILS table using the column MODL_CD which serves as the key linking vehicle models to repair orders,SEAT_CAPCTY (INTEGER) NULLABLE: Seat Capacity
MH_MODEL_MASTER,This table contains model details data for all vehicle models. It can be joined with the MH_RO_HDR_DETAILS table using the column MODL_CD which serves as the key linking vehicle models to repair orders,MODL_INVC_DESC (STRING) NULLABLE: Model Invoice Description
MH_MODEL_MASTER,This table contains model details data for all vehicle models. It can be joined with the MH_RO_HDR_DETAILS table using the column MODL_CD which serves as the key linking vehicle models to repair orders,FAMLY_CD (STRING) NULLABLE: Family Code
MH_MODEL_MASTER,This table contains model details data for all vehicle models. It can be joined with the MH_RO_HDR_DETAILS table using the column MODL_CD which serves as the key linking vehicle models to repair orders,COLR_CD (STRING) NULLABLE: Color Code
MH_MODEL_MASTER,This table contains model details data for all vehicle models. It can be joined with the MH_RO_HDR_DETAILS table using the column MODL_CD which serves as the key linking vehicle models to repair orders,PRODCT_DIVSN (STRING) NULLABLE: Product Division
MH_MODEL_MASTER,This table contains model details data for all vehicle models. It can be joined with the MH_RO_HDR_DETAILS table using the column MODL_CD which serves as the key linking vehicle models to repair orders,BATCH (STRING) NULLABLE: Batch
MH_MODEL_MASTER,This table contains model details data for all vehicle models. It can be joined with the MH_RO_HDR_DETAILS table using the column MODL_CD which serves as the key linking vehicle models to repair orders,OEM_MODL_CD (STRING) NULLABLE: OEM Model Code
MH_MODEL_MASTER,This table contains model details data for all vehicle models. It can be joined with the MH_RO_HDR_DETAILS table using the column MODL_CD which serves as the key linking vehicle models to repair orders,SAL_MODL_GROP (STRING) NULLABLE: Sales Model Group
MH_MODEL_MASTER,This table contains model details data for all vehicle models. It can be joined with the MH_RO_HDR_DETAILS table using the column MODL_CD which serves as the key linking vehicle models to repair orders,MODL_GROP_ORDR_BY (INTEGER) NULLABLE: Model Group Order By
MH_MODEL_MASTER,This table contains model details data for all vehicle models. It can be joined with the MH_RO_HDR_DETAILS table using the column MODL_CD which serves as the key linking vehicle models to repair orders,SEGMNT_CD (STRING) NULLABLE: Segment Code
MH_MODEL_MASTER,This table contains model details data for all vehicle models. It can be joined with the MH_RO_HDR_DETAILS table using the column MODL_CD which serves as the key linking vehicle models to repair orders,VARNT_DESC (STRING) NULLABLE: Variant Description
MH_MODEL_MASTER,This table contains model details data for all vehicle models. It can be joined with the MH_RO_HDR_DETAILS table using the column MODL_CD which serves as the key linking vehicle models to repair orders,FAMLY_DESC (STRING) NULLABLE: Family Description
MH_MODEL_MASTER,This table contains model details data for all vehicle models. It can be joined with the MH_RO_HDR_DETAILS table using the column MODL_CD which serves as the key linking vehicle models to repair orders,ACTV_IND (STRING) NULLABLE: Active Indicator
MH_MODEL_MASTER,This table contains model details data for all vehicle models. It can be joined with the MH_RO_HDR_DETAILS table using the column MODL_CD which serves as the key linking vehicle models to repair orders,MODL_GROP_DESC (STRING) NULLABLE: Model Group Description
MH_MODEL_MASTER,This table contains model details data for all vehicle models. It can be joined with the MH_RO_HDR_DETAILS table using the column MODL_CD which serves as the key linking vehicle models to repair orders,FUEL_TYPE (STRING) NULLABLE: Fuel Type
MH_MODEL_MASTER,This table contains model details data for all vehicle models. It can be joined with the MH_RO_HDR_DETAILS table using the column MODL_CD which serves as the key linking vehicle models to repair orders,EMISSION (STRING) NULLABLE: Emission
MH_MODEL_MASTER,This table contains model details data for all vehicle models. It can be joined with the MH_RO_HDR_DETAILS table using the column MODL_CD which serves as the key linking vehicle models to repair orders,DRIV (STRING) NULLABLE: Drive
MH_MODEL_MASTER,This table contains model details data for all vehicle models. It can be joined with the MH_RO_HDR_DETAILS table using the column MODL_CD which serves as the key linking vehicle models to repair orders,TRIM_LEVL (STRING) NULLABLE: Trim Level
