table_name,table_description,column_name&description
MH_MODEL_MASTER,Contains vehicle model master data,MODL_CD (STRING) NULLABLE: Model Code
MH_MODEL_MASTER,Contains vehicle model master data,MODL_DESC (STRING) NULLABLE: Model Description
MH_MODEL_MASTER,Contains vehicle model master data,MODL_GROP_CD (STRING) NULLABLE: Model Group Code
MH_MODEL_MASTER,Contains vehicle model master data,VARNT_CD (STRING) NULLABLE: Variant Code
MH_MODEL_MASTER,Contains vehicle model master data,SEAT_CAPCTY (INTEGER) NULLABLE: Seat Capacity
MH_MODEL_MASTER,Contains vehicle model master data,MODL_INVC_DESC (STRING) NULLABLE: Model Invoice Description
MH_MODEL_MASTER,Contains vehicle model master data,FAMLY_CD (STRING) NULLABLE: Family Code
MH_MODEL_MASTER,Contains vehicle model master data,COLR_CD (STRING) NULLABLE: Color Code
MH_MODEL_MASTER,Contains vehicle model master data,PRODCT_DIVSN (STRING) NULLABLE: Product Division
MH_MODEL_MASTER,Contains vehicle model master data,BATCH (STRING) NULLABLE: Batch
MH_MODEL_MASTER,Contains vehicle model master data,OEM_MODL_CD (STRING) NULLABLE: OEM Model Code
MH_MODEL_MASTER,Contains vehicle model master data,SAL_MODL_GROP (STRING) NULLABLE: Sales Model Group
MH_MODEL_MASTER,Contains vehicle model master data,MODL_GROP_ORDR_BY (INTEGER) NULLABLE: Model Group Order By
MH_MODEL_MASTER,Contains vehicle model master data,SEGMNT_CD (STRING) NULLABLE: Segment Code
MH_MODEL_MASTER,Contains vehicle model master data,VARNT_DESC (STRING) NULLABLE: Variant Description
MH_MODEL_MASTER,Contains vehicle model master data,FAMLY_DESC (STRING) NULLABLE: Family Description
MH_MODEL_MASTER,Contains vehicle model master data,ACTV_IND (STRING) NULLABLE: Active Indicator
MH_MODEL_MASTER,Contains vehicle model master data,MODL_GROP_DESC (STRING) NULLABLE: Model Group Description
MH_MODEL_MASTER,Contains vehicle model master data,FUEL_TYPE (STRING) NULLABLE: Fuel Type
MH_MODEL_MASTER,Contains vehicle model master data,EMISSION (STRING) NULLABLE: Emission
MH_MODEL_MASTER,Contains vehicle model master data,DRIV (STRING) NULLABLE: Drive
MH_MODEL_MASTER,Contains vehicle model master data,TRIM_LEVL (STRING) NULLABLE: Trim Level
MH_MODEL_MASTER,Contains vehicle model master data,TRANSMISSION (STRING) NULLABLE: Transmission

MH_AD_AI_DIMENSION,Contains dealer and sales hierarchy dimension data,delr_name (STRING) NULLABLE: Dealer Name
MH_AD_AI_DIMENSION,Contains dealer and sales hierarchy dimension data,prodct_divsn (STRING) NULLABLE: Product Division
MH_AD_AI_DIMENSION,Contains dealer and sales hierarchy dimension data,actv_ind (STRING) NULLABLE: Active Indicator
MH_AD_AI_DIMENSION,Contains dealer and sales hierarchy dimension data,parnt_grop (STRING) NULLABLE: Parent Group Code
MH_AD_AI_DIMENSION,Contains dealer and sales hierarchy dimension data,PARENT_GROUP_NAME (STRING) NULLABLE: Parent Group Name
MH_AD_AI_DIMENSION,Contains dealer and sales hierarchy dimension data,loctn_name (STRING) NULLABLE: Location Name
MH_AD_AI_DIMENSION,Contains dealer and sales hierarchy dimension data,loctn_cd (STRING) NULLABLE: Location Code
MH_AD_AI_DIMENSION,Contains dealer and sales hierarchy dimension data,delr_cd (STRING) NULLABLE: Dealer Code
